, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
 Liability-Assets Flag,-0.10927228259148997,-0.15689016313955276,-0.12067967657957585,-0.03293001594165061,-0.032919629703985764,-0.0002946771448511545,-0.003163137225426768,-0.002745558580314333,-0.0056522834184800745,-0.0012328339343316548,-0.004119032201983327,-0.00996002794280688,-0.013501195142826257,0.03357081490447982,-0.0284247981564906,-0.09677636918095421,-0.09650619269162497,-0.09652722169659265,-0.10552188869996659,-0.037402789655481654,-0.0008807016427096174,-0.0463808817780792,-0.10499459704292152,0.002141606628840909,-0.046146153190451074,-0.05083863418022188,-0.05063895163080728,-0.00205943751896672,-0.027766149765231035,0.4003420585725411,-0.009822789276613886,0.11887173812113122,-0.00041506017820232917,-0.001173361972181166,-0.0015300708312234335,-0.00089882195157928,0.20315482971582294,-0.2031548297158221,-0.00583307573610431,-0.25970202761877187,-0.005567454947388562,-0.04644704220450716,-0.10998080490492615,-0.2044995354903103,0.012599009373147984,-0.0015753657857483158,-0.0013137403202574617,-0.011810674274622861,0.004788693787265075,0.17257754728326136,-0.0005834442772518086,-0.03024088763204245,-0.0013099436680275541,-0.14908496336286842,-0.0006633380040860163,-0.008918063516460838,-0.012223801390497896,0.18750973731199178,-0.002495618229736356,0.18438819447186203,-0.016716060195634295,-0.0024352277523015877,0.023506776408101792,0.007156826096904122,0.16030696189768487,-0.2685583267584921,-0.0032551376805101434,-0.16077396140341715,-0.0016360853964422512,0.13608407820452545,0.005382277388987411,0.004659022386316653,-0.0012293090713874685,0.006498275122582432,-6.51293130995848e-05,-0.0004150601207400182,0.007156826096904122,-0.2685583267584921,-0.055805305161500555,-0.02292424346818301,-0.005519620747761781,-0.03591250026400428,0.1174015592663155,0.2471575245667471,1.0,-0.16910372426055267,0.032787777049698874,-0.023926548302521895,-0.032932121208252056,0.19268818806170754,-0.22955938388411282,-0.0017172892481734118,-0.0009744754523952449,,-0.027572704258889975
 Net Income to Total Assets,0.8876695382909829,0.9615519166312979,0.9120401733352151,0.3001433438115685,0.298155480526456,0.028482200253135755,0.04858660612045088,0.04538995303754583,0.028422670292985466,0.04560013133617074,0.07136459003177247,0.07916912477261244,0.281309043670244,0.04873454229438386,0.2312104218336069,0.4937760641768798,0.4938033950156332,0.4938221929467547,0.6911520598487237,0.2922521191398263,-0.008314745431590652,0.5778455242001679,0.6717478754729701,0.003063890131913091,0.041045544828650665,0.11959576425807031,0.11986999691036929,0.024256564030078174,0.08003071488938232,-0.07240843360625125,0.062182721076839156,0.25271586764534126,0.014946005255416013,-0.017779244794832883,0.004969054904741906,-0.008055669458360417,-0.281422293318387,0.28142229331839025,0.016565639084824654,-0.17778113319507577,-0.03782150426679785,0.5758330848156774,0.6836228193425018,-0.09477034053863029,0.18877377804729892,-0.025062416935572946,0.011001954829093677,-0.052667943464572,-0.12250459155128104,0.01377559986164183,-0.014309227092614639,0.30635640496862093,-0.0021534188277845642,0.297217189866447,0.1760863350978717,0.13305308551485032,0.19565215407263165,-0.00815427546264948,-0.03438889840755644,-0.2140847801816805,0.3411876353593913,0.0009917792557511467,0.0036392616243392617,0.06627659966545922,0.12381700174074266,-0.15031939746781245,0.02370162862842385,0.7941890411809647,0.027065121950659125,-0.4704975305262713,-0.0050321569411480825,-0.023834390720280717,0.005680065809079499,-0.016255147962097746,0.011634287252831933,-0.004379524792398163,0.06627659966545922,-0.15031939746781245,-0.12024225703617314,0.25489847924329795,0.14256673332107397,0.44009489283763653,0.12022794684348236,-0.20275115478830502,-0.16910372426055267,1.0,-0.10520070101982276,0.01194157755569632,0.30014565104815477,0.32849183254448744,-0.1596965181019577,-0.010462886108426423,0.012746126768264384,,0.07391570862347022
 Total assets to GNP price,-0.07172470039118245,-0.09889982937297645,-0.08908828936731429,0.02267229427037386,0.022750405387493372,-0.0033381071222576657,-0.004242838334871914,-0.0037859252097705294,-0.00040765752485970265,-0.004623149088797565,-0.02552420948747395,-0.020165707717889753,-0.05276552598607612,-0.007518664689390155,-0.02364294804365955,-0.059970483194507845,-0.059779931085869535,-0.05982604185380661,-0.03350923095305078,-0.02359136969091299,-0.001271782991644285,-0.03229943916966354,-0.028836993788633723,0.0026921077255516778,6.30393628937966e-05,0.0011851323257865913,0.0011664012908772724,-0.0003071550389541417,-0.038909332915738754,-0.0006790387064438851,0.00658255559034545,-0.04188852479803239,-0.0005993703464800403,-0.0016944010577559425,-0.0005861318436335891,-0.0012979497732726422,0.04105462652727267,-0.04105462652727249,-0.0035889619880211535,0.011083021629927393,-0.002446338410095297,-0.03240293594874072,-0.029307972726396105,0.027074226700713314,0.041944210512457884,0.11373088601886987,-0.001897115335908232,0.00917193503452573,-0.013476554386202273,0.059177665555774826,-0.0008425265483663045,-0.017803539993539612,-0.0018916327590414296,-0.008452074404041856,0.028237598766975586,0.03376000278650564,0.019727394978057915,-0.0010361694943733495,-0.00360381388962499,0.056085888384183116,-0.06603667006574951,0.000455228419327774,0.0026372578109001617,0.03422871492120631,-0.0031213729392282883,0.026494078409751032,-0.004700602945106318,-0.17015641508796173,-0.001687151918224002,0.10794413692427315,-0.005084531514917585,-0.0010226489487803678,0.00012192136140403753,-0.008560282321836817,0.00018208492010732283,-0.0005993704060167255,0.03422871492120631,0.026494078409751032,0.006302169080654552,-0.016781925661366836,-0.014122740839526277,-0.07604110109903425,-0.024582534750390454,0.01285281926434946,0.032787777049698874,-0.10520070101982276,1.0,-0.0005840834133859569,0.022673203658858658,-0.040216641800031476,0.021982331285097106,-0.0018806800841089809,0.00023942576403641403,,0.014871069955598006
 No-credit Interval,0.008135088508584711,0.011463483415970775,0.007522730518130104,0.004205352578572881,0.004037672184121451,0.00019924706779653938,-7.507305053154964e-05,-0.001091131379689568,-0.0006367340405438384,-0.000555719693945897,0.006497361129803733,-0.006838267566712376,0.013642267254651912,0.0031752705756238416,0.011488362859227587,0.014302967816508073,0.014423885374357716,0.014334827322633262,0.0037914922195467966,0.0027208293441863176,0.027256282657556755,0.001168721205921873,0.008266733435990407,-0.0007643206482481952,-0.00018043933962052117,0.002108431622871642,0.0020263114476486064,0.002107894645732062,-0.013173843250082275,-0.010080362479851853,-0.0003102820531038577,0.008557803822392324,0.008178175161054508,-0.014929224906652506,-7.624561357659243e-05,0.0025556256732918955,-0.05021761641739612,0.05021761641739595,0.0033891943751927843,-0.004183304342367913,0.0015314574589648825,0.0009748803051607797,0.007938523201584377,-0.021708566044722002,0.007536497441307634,0.004029852391660105,0.004209803934585707,-0.010280140840397203,-0.007191850932610554,-0.01916892756740728,0.033597940536658044,-0.009823279043390623,-0.0007017639485001637,0.03820881281568593,0.028875705534325252,-0.0025204819304421606,0.026421009009705964,-0.03953755800536756,-0.006207663575399473,-0.0536570193798465,0.01030290123358382,0.0010402829350043953,-0.0025525460980492303,-0.01629637390621692,-0.009142617038515724,-0.004031801726665177,0.001300670937008436,0.013460414430117904,0.017817545633808107,-0.004313500634745097,0.012551441766258642,-0.02416939391024993,0.005063450895531048,-0.023444440199401385,0.003314201870678269,-0.006361415484949137,-0.01629637390621692,-0.004031801726665177,-0.0014387650633219196,0.011692895964193527,0.0150177699072625,0.00776888954553031,0.005882925210219906,-0.049342449055928654,-0.023926548302521895,0.01194157755569632,-0.0005840834133859569,1.0,0.004203493583003308,0.0001273722978451212,-0.0037239441897807756,-0.008811972495152426,0.0010269338212360079,,0.050609064579609765
 Gross Profit to Sales,0.33472096865297146,0.32697132408668433,0.3337502464181708,0.9999999924887606,0.9995182260040115,0.005745896662566004,0.032493583105968046,0.027176047239735646,0.05143691578750508,0.029430591382168175,-0.20635374689724698,-0.01697495423154752,0.3411864267289996,0.01719757977069524,0.06797091199943145,0.14466160049902768,0.14503239803836723,0.14505758897065255,0.25672288890240513,0.16319025538771179,0.11704355379472518,0.26794552281578937,0.24779103365270622,0.014172353610376826,0.022865920909455644,0.05463897278415737,0.05343040751063266,0.009121583421684712,0.016014462155497323,-0.017449717511389545,0.026544023304484653,0.12267514840657844,0.024946243884529398,0.0013808767845762953,-0.0023652498391623067,-0.02236288073207392,-0.24546113228878055,0.24546113228878064,0.006020009824765199,-0.08573232313406302,-0.02225825955209006,0.2674121647790602,0.24810554475504393,-0.08671988049425687,-0.0996614495064629,0.08234257918422515,0.02252890344861142,0.047665980649277934,0.0012397825058748358,-0.13615822943189407,0.019021217456509178,0.22497950151692386,-0.006951604001287468,0.24630797457717676,0.15285006847437135,0.0947846999857881,0.24194467518555704,-0.0032051384211783827,-0.030899633842670412,-0.19802774736424253,0.24683288932387107,-0.035024488513557,0.03521696219962667,0.06354623126265067,0.06797023856090538,-0.0804221156705716,0.0005228975307021981,0.16458264641163103,0.04360917893908595,0.22547797281330975,-0.12127734511894725,-0.1297140231920999,0.020449660593595365,-0.07157847917112506,-0.04155965715166727,0.0035062349876798164,0.06354623126265067,-0.0804221156705716,-0.06880943138043681,0.09809883180409242,0.11413983913964372,0.2269899536658154,0.030672094698022373,-0.13265215545626402,-0.032932121208252056,0.30014565104815477,0.022673203658858658,0.004203493583003308,1.0,0.07530274277568913,-0.0854337280775615,-0.011806270362691978,-0.001168780170563665,,0.12002744171417763
 Net Income to Stockholder's Equity,0.2742871534340763,0.2917435604416463,0.28061672358651163,0.07530409411394416,0.07489136648495111,0.006215964545178415,0.01134308578314298,0.010647783805407023,0.007692567484624619,0.011191283914833948,0.029732768205188772,0.02149031962139612,0.05793322522075678,0.010949927171940432,0.07791983684899087,0.14869334527068293,0.14887152989046554,0.14890552163280457,0.22296142854477244,0.07425048145612824,-0.001104389334552131,0.18360095946302332,0.218388707406273,0.0019517431204320417,-0.007569991575713334,0.020202614644105072,0.020272577500043677,0.006637720090423191,0.0325653077763412,0.06805389716110424,0.019466640832343268,0.1624732159969639,0.0024889535262162888,-0.002374121508315767,0.003603758395400366,-0.0007004293487017258,-0.12398605268046296,0.12398605268046306,0.008678561243057067,-0.8064782406650229,-0.352618014731277,0.18114966360654777,0.2156903089102702,-0.42223823223018253,0.04124222575930737,-0.006587045301727078,0.004093126968224181,-0.026296142731263836,-0.013604250561173589,-0.03469897312462879,-0.006549314711825902,0.09623493575122354,0.0006793288175572319,0.10976564020405044,0.0480106252557637,0.03888004791083977,0.04507467229300095,0.021418722082376097,-0.008187978762115584,-0.09272468102231188,0.06921158069496616,0.0001764000872119574,0.004009030520933355,0.017171495424376813,0.5859713414057895,-0.749620873003492,0.0075290270407803355,0.2477071573311574,0.0062132169108837405,-0.1907003599128924,-0.01550497352767643,-0.017510604598601178,0.0024055692466923703,0.009239606902741334,0.002660659401894626,-0.0006997973713370257,0.017171495424376813,-0.749620873003492,-0.6159049249887032,0.05048291462581401,0.026664457311334364,0.10784997844081266,0.18066591724171213,-0.0703537308349616,0.19268818806170754,0.32849183254448744,-0.040216641800031476,0.0001273722978451212,0.07530274277568913,1.0,-0.7918359156541077,-9.303098472917424e-05,0.005147314981964019,,0.02962227830037941
 Liability to Equity,-0.1436294810944036,-0.1410391678028319,-0.1428384143239511,-0.08543385644677211,-0.0854065852422744,0.0015411865394587927,-0.0040426989344628265,-0.004390087910824206,-0.011899489569452559,-0.0029962328082376137,0.03480947475628846,-0.03536298626975062,-0.08077308588045601,-0.00342291112375378,-0.03000222803927511,-0.1108504462393451,-0.11179703335778747,-0.11168158001496176,-0.11411410992598567,-0.04729843235564319,-0.002131951047265007,-0.07710160953614083,-0.10772683247327391,0.0016873305742036119,0.0005366814265561569,-0.011685281481416588,-0.011704737266680127,-0.00743279132040891,-0.03305228952522046,-0.06864925068500564,-0.005197666775442463,-0.13368571978315236,-0.0037411062624227776,0.009645018513174978,0.006926063360412097,-0.010044639226360084,0.34925009123273265,-0.3492500912327324,0.001791149345342023,0.9558567721071973,0.6218076726377983,-0.0753738651203473,-0.10414902768831398,0.6703725935391492,0.08424282787445309,0.02375347897816151,0.00322111245936941,-0.008359261200751802,-0.015134421406905388,0.2735532875237196,0.022624366113805396,-0.011414545395145574,0.002285930878952331,-0.17764512796057247,-0.024486380826509693,0.03944914068035441,-0.0978489771298149,-0.06105140984726744,0.029935103869614312,0.2863983918019422,-0.09121354775808493,0.0017881433877275938,0.007636623043392698,-0.017927332966400394,-0.6504735718212994,0.963908387166064,6.348649621804653e-05,-0.1098103933076499,-0.007382519230085232,0.05050103070665951,0.04372983041768191,0.06830542357057112,-0.007808051681124351,0.013462718656070629,-0.0037701139668340562,0.010509136480743107,-0.017927332966400394,0.963908387166064,0.778134786120557,-0.01589298616633645,-0.01921305085008756,-0.09854495176333114,-0.23110698972442315,0.1323721972977458,-0.22955938388411282,-0.1596965181019577,0.021982331285097106,-0.0037239441897807756,-0.0854337280775615,-0.7918359156541077,1.0,0.0021185280835295753,0.0014868810458696894,,-0.15965407932497527
 Degree of Financial Leverage (DFL),-0.016574569046776195,-0.011515415283410706,-0.014662913192390962,-0.011806144253965735,-0.011267709824716714,0.000934523371535697,0.0008549153376645328,0.0009270857012403867,-0.0005562426881169813,0.00077395769812343,0.013576775553760748,-0.01394531339731222,-0.006348253499186485,-0.00730079320467586,-0.014962319368445469,-0.021860475209067535,-0.021780638245336378,-0.021673952985990508,-0.018829085403688838,-0.006200451284951426,-0.0011397853291945155,-0.01593615706929114,-0.017884937839574025,-0.0006723545998017697,0.001247210251764928,0.0020303227927511314,0.0020141054923838485,1.3958841951974186e-05,0.00552043231262719,-0.000697166450208175,-0.00031044780845536384,0.003716830110555397,-0.0005739235343632751,-8.293280954899091e-05,0.016828998468879357,-0.0012615196977997412,0.017981627947891425,-0.01798162794789231,-0.004318884415036745,0.0072600403149919186,-0.0010614784251170844,-0.01605157752243737,-0.01835795635485198,-0.006647342760954998,-0.020768906236497804,-0.0021111245281714547,-0.0013423664943270986,0.0011894118083146897,0.01856460074167668,-0.009233188180874456,-0.0010836923369828904,-0.006094066183555754,-0.001858771049139369,-0.036716294934369426,-0.030418737899210253,-0.03104884096733094,-0.024288936952500204,-0.0008763614842149873,0.0016357413809007814,0.00698705216836549,-0.00896109038825043,0.002293765263164925,-0.00034376418076471313,-0.017910730724930553,-0.01113420691233206,0.000745143442458934,-0.002159916504597759,-0.0137656611548733,-0.0011559495628802197,-0.017606931337506033,-0.0034146036354252263,0.001264102547911562,-0.00034230998219300033,0.0001431997448242935,0.0002081097851397183,-0.0008253730349737263,-0.017910730724930553,0.000745143442458934,0.0029361060156788766,-0.0029906792630533235,-0.0024004356839430713,-0.003771417708755571,-0.0014706981131113349,0.02203283959808452,-0.0017172892481734118,-0.010462886108426423,-0.0018806800841089809,-0.008811972495152426,-0.011806270362691978,-9.303098472917424e-05,0.0021185280835295753,1.0,0.016513423874114974,,-0.016738614451487926
 Interest Coverage Ratio (Interest expense to EBIT),0.01057283582392047,0.013371659710817793,0.011473346459158781,-0.0011666711839534874,-0.0011581452031692483,0.00039276971808685664,0.0009838862467384463,0.0009573578469178,0.0010242743180443686,0.0007983467736499439,0.006231802814312966,-0.012160192077691511,0.0012617200295213082,-0.0007793875052098714,0.030275073061706258,-0.00217495626750487,-0.002357965441129222,-0.002327895527502669,0.00803857991321617,0.0013577002045022143,-5.309699168920207e-05,0.006330532265607423,0.00814259942044594,-0.00032709882508516117,0.004575862373784514,0.005373047631242432,0.005329250991872284,0.0010859203450358727,0.0017229530333026872,-0.00044584924483380563,0.0014982151381589418,0.0055250602448849995,-0.00015025320233523248,0.0018667187589933986,-0.03432140950867032,-0.0004313810482399485,0.012571318357871505,-0.01257131835787142,-0.00034242050991290505,0.0017761388893950023,-0.0006199019281256583,0.006258037140318704,0.008171550832285003,0.006764161703353853,0.019357805805076317,-0.000497284855502013,0.0008921209642989409,-0.011490747815313848,0.0005367567267885979,0.017436616332806753,-0.0026666339205038813,0.0032198582753962634,-0.0009571018024117191,-0.008911690182177065,-0.0008863798562732784,0.007280631324873224,-0.007205435883064779,0.0002089667296454489,0.0034220754435016847,0.021427699437660944,-0.0012681102226468329,0.023607540316479405,0.005260051258546741,0.009450223784547424,-0.0020628192015247006,0.005037902913150827,0.00390846433529802,0.009602710289355153,8.82168994543309e-05,-0.005122007445890721,0.025885620964272642,-0.009415500505859648,-4.011644075640897e-06,-0.003772712973584065,-8.252395673744583e-05,-0.002168755425143836,0.009450223784547424,0.005037902913150827,-0.007972565075181435,0.00017646440277743248,0.0018355974035956203,0.006057291900250834,0.00023935757539342157,0.007652232081496739,-0.0009744754523952449,0.012746126768264384,0.00023942576403641403,0.0010269338212360079,-0.001168780170563665,0.005147314981964019,0.0014868810458696894,0.016513423874114974,1.0,,-0.00833911590041742
 Net Income Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Equity to Liability,0.052416349717134436,0.057886826135108885,0.056429588335143714,0.12002922038478112,0.12019627297711058,-0.01707120016921885,-0.014559416444281369,-0.010899557913583243,0.012292545789656913,-0.011299466376047453,-0.1207631789425446,-0.04524386620430357,0.33170984556989747,0.02894467048263503,-0.053148138330533924,0.09843391451150607,0.09872110467353477,0.09838952627610151,0.036721591641990216,0.05211713740384494,0.2332025162980015,-0.009315586119807148,0.02818477889932038,-0.002302118875119815,0.0017247493146279197,0.0012532786741842993,0.001382500654776014,0.014498202014452061,-0.015962297334972116,-0.010685137407733584,-0.002454312373647523,0.04554615178070965,0.010227955463094135,-0.01708421022423351,-0.012626113465408189,0.33889758783689106,-0.6258790580947202,0.6258790580947164,0.10434428966835128,-0.1460120484754293,-0.018260147729724015,-0.009527658084798664,0.031292309212462135,-0.20518316809398823,-0.1984853202936262,0.010628789687348452,0.0027440201079251495,0.00672585184107832,0.044537642784498004,-0.22645590038197047,-0.011294620275224833,-0.03026098008357728,8.128903752284083e-05,0.3691486135140807,0.09597813033165373,-0.01531091222500528,0.2997323355227783,-0.012449494350122619,-0.03800428565467016,-0.5063598530450174,0.3987686836732389,-0.005719135635424889,0.004447792603428979,0.09893034205999333,0.058511540281812054,-0.15644310208684448,0.014437120638495749,0.04293565595174464,0.03132477231926494,0.007906677022570108,-0.10115652878312249,-0.15695396982333784,0.0774235815955367,-0.14570974637900044,0.022476446081180792,-0.0077584345543674285,0.09893034205999333,-0.15644310208684448,-0.11088486056096725,0.03401452659320321,0.10977483972676579,0.11362909617893303,0.003320851626668661,-0.2621989921947064,-0.027572704258889975,0.07391570862347022,0.014871069955598006,0.050609064579609765,0.12002744171417763,0.02962227830037941,-0.15965407932497527,-0.016738614451487926,-0.00833911590041742,,1.0
